EpisodesSoFar,TimeElapsed,loss_pol_surr,loss_ent,EpLenMean,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpRewMean,ev_tdlam_before,EpThisIter
3397,3917.2109937667847,-0.007827161,8.20981,1261.3,0.010387245,0.0,6024346,63430435000.0,-1906796.1213219957,-8.344650268554688e-07,71
3465,3970.860867500305,-0.008635421,8.208203,1125.23,0.0062537356,0.0,6100837,50107000000.0,-2255817.277586062,0.0,68
3535,4024.168390750885,-0.01028003,8.193159,1234.19,0.008715315,0.0,6191916,91423560000.0,-1500042.3921934834,3.7550926208496094e-06,70
3605,4078.3226153850555,-0.009777339,8.18124,1159.42,0.0063868365,0.0,6269438,96063040000.0,-1569541.1351791068,-0.00016629695892333984,70
3676,4132.076329708099,-0.0076960847,8.180782,1126.42,0.0073603513,0.0,6353992,114859440000.0,-3590729.5450774673,-0.014412760734558105,71
3744,4185.59069943428,-0.00832766,8.183489,1217.98,0.009639559,0.0,6436718,240238560000.0,-5091765.344508287,-0.0025249719619750977,68
3819,4239.5014634132385,-0.0077256635,8.17761,1163.74,0.009314614,0.0,6524288,119184540000.0,-3052585.149632233,1.1324882507324219e-06,75
3892,4293.258358955383,-0.008911303,8.177662,1092.12,0.008008666,0.0,6605600,134892855000.0,-2495664.3278936194,2.300739288330078e-05,73
3967,4347.116423606873,-0.00781155,8.186054,1100.87,0.008427972,0.0,6690502,448666170000.0,-5165352.065255272,8.940696716308594e-07,75
4035,4401.139926195145,-0.009956492,8.181002,1127.05,0.009245909,0.0,6767388,136183000000.0,-4108981.796516452,-0.0026187896728515625,68
4094,4454.482181072235,-0.008557483,8.182009,1257.38,0.009217462,0.0,6847670,14864136000.0,-3034526.504653724,4.589557647705078e-06,59
4163,4508.456885576248,-0.008042294,8.180632,1205.25,0.010883063,0.0,6927973,76527880000.0,-2674844.245396642,-0.004094362258911133,69
4223,4561.982862949371,-0.007941932,8.180843,1304.21,0.006762369,0.0,7010089,68873175000.0,-2183976.626332172,-0.00019919872283935547,60
4292,4616.05207490921,-0.0080673415,8.184063,1310.01,0.008936493,0.0,7093399,66539760000.0,-2396994.254999861,-1.3828277587890625e-05,69
4349,4670.078734397888,-0.009197816,8.188747,1351.74,0.0068647237,0.0,7172081,83662815000.0,-2634863.31761568,2.384185791015625e-07,57
4415,4723.877822160721,-0.009006056,8.184971,1296.23,0.007266459,0.0,7258301,817755600000.0,-7377447.408374008,1.1920928955078125e-07,66
4474,4777.758790254593,-0.009410393,8.187198,1353.76,0.0067616305,0.0,7337426,2320888600.0,-1437109.259708398,-0.00017547607421875,59
4532,4831.539497852325,-0.00934129,8.192352,1348.76,0.008288274,0.0,7418383,2560371000000.0,-715036.5048451212,2.682209014892578e-06,58
4595,4885.250458955765,-0.008363116,8.191742,1310.65,0.009617498,0.0,7496339,386359700000.0,-16790080.635769933,1.1920928955078125e-07,63
4669,4939.737374305725,-0.008474337,8.189028,1159.32,0.008051103,0.0,7579720,258779070000.0,-18894844.017952267,3.159046173095703e-06,74
4739,4997.707900524139,-0.008928958,8.185848,1194.64,0.0071685696,0.0,7666118,32485950000.0,-1116957.865745116,4.172325134277344e-07,70
4810,5054.041846990585,-0.008503409,8.190996,1055.26,0.009131832,0.0,7737759,335990980000.0,-1144170.5797800452,4.76837158203125e-07,71
4882,5109.1747987270355,-0.009983371,8.185957,1117.89,0.008779166,0.0,7818009,75850695000.0,-3411537.956558576,-0.001964092254638672,72
4967,5163.137709379196,-0.008588063,8.194218,1035.07,0.0076261805,0.0,7904480,59045536000.0,-1414659.378525969,0.0,85
5036,5217.474681854248,-0.009013,8.190762,1201.62,0.008951444,0.0,7994053,957827700000.0,-7919313.223975186,1.5497207641601562e-06,69
5113,5271.827139616013,-0.00987391,8.190767,1203.65,0.0068843006,0.0,8082700,45441130000.0,-9222968.634751737,-0.01904606819152832,77
5185,5325.818657875061,-0.009331276,8.19125,1081.82,0.0078100837,0.0,8154540,7293033500.0,-3368485.1117381155,-4.5299530029296875e-06,72
5257,5383.284245729446,-0.00900926,8.183186,1091.18,0.009070046,0.0,8236695,288655470000.0,-3585337.0656775874,1.7881393432617188e-07,72
5328,5439.793908119202,-0.0087437425,8.175709,1097.25,0.009089875,0.0,8315855,188766320000.0,-3410663.1979748458,5.960464477539063e-08,71
5396,5495.806025981903,-0.008065572,8.168121,1174.29,0.008402062,0.0,8396811,115258515000.0,-534347.3592407817,-0.0004336833953857422,68
5470,5551.496334314346,-0.009130668,8.1665535,1217.22,0.009086494,0.0,8488008,42921420000.0,-1592263.4481816306,-3.5762786865234375e-07,74
5544,5606.864410877228,-0.008731743,8.163801,1029.33,0.0099156825,0.0,8562827,38896100000.0,-940419.1809357874,-2.9802322387695312e-06,74
5616,5660.899296045303,-0.009021612,8.164096,1193.93,0.008800171,0.0,8649771,24988050000.0,-1806168.6065594575,5.364418029785156e-07,72
5684,5717.612895488739,-0.008274548,8.159838,1203.24,0.0075199357,0.0,8728995,184654050000.0,-1633571.187677873,5.960464477539063e-08,68
5769,5778.529135465622,-0.00816838,8.164936,1018.31,0.009128401,0.0,8810661,134392320000.0,-3400260.089965707,-5.137920379638672e-05,85
5836,5836.892669677734,-0.009888048,8.166517,1111.44,0.0069459327,0.0,8890759,698045300000.0,-2848620.9110948034,-0.00030803680419921875,67
5895,5892.865983963013,-0.009036897,8.164673,1292.79,0.0080459835,0.0,8975322,129519520000.0,-6658705.539333888,-1.430511474609375e-06,59
5969,5950.931103944778,-0.008745924,8.168697,1159.93,0.0057241586,0.0,9053891,69366006000.0,-3148841.6520396466,8.881092071533203e-06,74
6052,6009.877416372299,-0.009673925,8.171785,1082.48,0.008142887,0.0,9141231,7093044700.0,-1285808.5580996508,1.6093254089355469e-06,83
6119,6067.598758220673,-0.0097609535,8.1689415,1157.14,0.0068933396,0.0,9222214,70253560000.0,-1288761.764801591,2.2649765014648438e-06,67
6193,6125.290655374527,-0.009263588,8.159222,1142.64,0.005990827,0.0,9304232,100253530000.0,-2116992.003504775,0.0,74
6271,6182.682785749435,-0.009470001,8.148206,1007.35,0.0070855157,0.0,9381752,66654330000.0,-868194.1538629335,8.344650268554688e-07,78
6345,6240.647302865982,-0.008726629,8.14426,1052.12,0.0075726,0.0,9466813,135517150000.0,-2014551.7992800144,-9.5367431640625e-07,74
6420,6323.940744876862,-0.00857949,8.149153,1062.88,0.010990282,0.0,9551340,207539140000.0,-2350555.5902082594,-2.9325485229492188e-05,75
6488,6382.118164300919,-0.009752001,8.149401,1181.1,0.0083456095,0.0,9629723,2248119200000.0,-5040928.963036148,-1.1920928955078125e-07,68
6556,6439.947254896164,-0.009341762,8.150225,1127.11,0.009609818,0.0,9709974,919516350000.0,-15285731.299943244,-2.396106719970703e-05,68
6640,6497.932386636734,-0.009281127,8.15028,997.13,0.0064604073,0.0,9796414,3387796700.0,-826074.6663736945,-8.475780487060547e-05,84
6713,6555.586648225784,-0.009170396,8.157457,1077.91,0.008095971,0.0,9878194,160909460000.0,-2445995.3984642727,0.0,73
6780,6613.087280750275,-0.010707264,8.159681,1172.25,0.0072038337,0.0,9957499,15433089000.0,-2684869.2462904537,1.0132789611816406e-06,67
6855,6699.947024345398,-0.008730665,8.156246,1177.55,0.009305309,0.0,10040968,78144780000.0,-1573302.9950610497,1.1920928955078125e-07,75
6930,6758.361003160477,-0.009047112,8.153063,1153.51,0.0074008615,0.0,10126474,6802822000000.0,-2047030.6508637564,1.1920928955078125e-07,75
7013,6815.689637899399,-0.008914005,8.157103,1027.35,0.009727133,0.0,10207403,420282960000.0,-22043426.015502863,-8.702278137207031e-06,83
7099,6876.6130158901215,-0.009489818,8.162489,1001.04,0.007064232,0.0,10294528,70645360000.0,-697982.1741981108,1.7881393432617188e-07,86
7169,6961.5590143203735,-0.010056824,8.155764,1072.66,0.006845505,0.0,10371386,1126712200000.0,-886403.9735332675,-3.4689903259277344e-05,70
7245,7019.692201137543,-0.008492659,8.155474,1057.88,0.008136429,0.0,10448566,859787100000.0,-9286596.514759732,3.3974647521972656e-06,76
7302,7087.653223276138,-0.008876545,8.1512165,1282.52,0.009348502,0.0,10526993,130738770000.0,-10827978.584418416,-0.002379775047302246,57
7384,7165.876797437668,-0.008778842,8.16173,1143.94,0.009523267,0.0,10612017,596746800000.0,-1916471.0508973328,-0.000152587890625,82
7466,7223.573485374451,-0.0085764555,8.165073,915.68,0.00769269,0.0,10691837,59434455000.0,-7186399.887239717,2.562999725341797e-06,82
7542,7281.50146985054,-0.007513723,8.170607,1079.26,0.008546429,0.0,10774671,6972603400.0,-6887807.752397389,3.933906555175781e-06,76
7622,7340.296026468277,-0.009712988,8.166018,1102.69,0.006316428,0.0,10860843,96459284000.0,-999609.9203111969,2.4437904357910156e-06,80
7714,7435.542886972427,-0.008735342,8.157284,948.18,0.008542655,0.0,10946513,141344300000.0,-1013911.2218581793,-1.7523765563964844e-05,92
