loss_pol_entpen,loss_kl,loss_pol_surr,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss,ev_tdlam_before,EpRewMean,EpisodesSoFar,loss_ent,EpLenMean
0.0,0.0024597764,-0.006661309,57,44371213,34045.98597931862,8225080500000.0,2.980232238769531e-07,-15041272.909343474,41410,10.234956,930.41
0.0,0.0026700262,-0.006059246,58,44418946,34089.358825683594,9420467000000.0,1.1920928955078125e-07,-29546541.4578948,41468,10.239488,890.86
0.0,0.0029773545,-0.005948727,46,44469570,34133.67679834366,6766225000000.0,-1.1920928955078125e-06,-38514887.60373144,41514,10.240205,969.73
0.0,0.0030340208,-0.0068472945,54,44523593,34176.741636514664,14897516000.0,5.960464477539062e-07,-18444312.03627349,41568,10.234744,1046.47
0.0,0.0023877148,-0.0055536805,61,44575228,34220.431445121765,33638340000000.0,0.0,-23186700.918281212,41629,10.233338,908.49
0.0,0.0027235525,-0.0064269397,57,44625930,34263.420731306076,35018180000000.0,-1.1920928955078125e-07,-78450298.26649018,41686,10.233151,872.46
0.0,0.0021722121,-0.006893847,44,44673340,34306.38079595566,30759770000000.0,5.960464477539063e-08,-118049260.00977226,41730,10.237954,964.55
0.0,0.002362642,-0.005945972,48,44728609,34349.74827551842,5549723000000.0,-2.384185791015625e-07,-75039665.02601494,41778,10.240903,1123.86
0.0,0.0023965423,-0.005926243,62,44780384,34393.43851685524,19926070000000.0,-1.049041748046875e-05,-40118817.55078099,41840,10.243405,989.63
0.0,0.0023362201,-0.0063002408,48,44828556,34436.63964033127,13781466000000.0,-1.1920928955078125e-07,-58450568.60394194,41888,10.247815,894.93
0.0,0.0026689058,-0.006535832,56,44880137,34479.71376943588,7420042000000.0,0.0,-44653107.52369265,41944,10.251308,969.77
0.0,0.0028715741,-0.0069362484,50,44928503,34523.655895233154,22751381000000.0,2.384185791015625e-07,-19656521.473013327,41994,10.250083,911.28
0.0,0.0026930266,-0.006316775,60,44981558,34567.37511014938,9381172000000.0,-1.1920928955078125e-07,-46711337.029198915,42054,10.251629,901.22
0.0,0.0025637604,-0.0062061287,61,45034576,34610.47481775284,3776922500000.0,4.172325134277344e-07,-19412859.908174083,42115,10.255664,867.08
0.0,0.0023802577,-0.0064962227,57,45087250,34654.10446858406,5639833600000.0,1.1920928955078125e-07,-17888119.255096857,42172,10.265307,895.48
0.0,0.0025398696,-0.00728019,58,45141220,34697.82925367355,16885677000000.0,0.0,-23990404.915136393,42230,10.271476,908.47
0.0,0.0023911474,-0.006530541,73,45195232,34741.00016903877,31695124000000.0,1.1920928955078125e-07,-61781549.96360863,42303,10.274079,800.12
0.0,0.0021022588,-0.0071269535,48,45240406,34784.35881614685,7580570000000.0,0.0,-33967250.29177726,42351,10.279018,784.5
0.0,0.0023500607,-0.0059078075,53,45289298,34827.433624506,42231184000000.0,-9.5367431640625e-07,-50254596.20584937,42404,10.274566,920.17
0.0,0.002371677,-0.0064032613,66,45348047,34871.06489658356,14988572000000.0,0.0,-55608826.340676785,42470,10.269187,840.74
0.0,0.0023617113,-0.0065102754,69,45395402,34914.372784376144,27573688000000.0,0.0,-21742813.373773903,42539,10.26762,756.56
0.0,0.0021347746,-0.00626696,67,45445974,34959.08558130264,6034467300000.0,6.556510925292969e-07,-28611987.154291388,42606,10.271554,733.69
0.0,0.002379654,-0.0064714104,53,45502427,35002.620554447174,15755269000000.0,5.960464477539063e-08,-53802529.959781215,42659,10.2757225,907.64
0.0,0.0030474516,-0.0058777034,48,45549768,35046.334198474884,36352045000000.0,-2.384185791015625e-07,-60284397.9795739,42707,10.278867,1017.45
0.0,0.0022038969,-0.005587331,54,45596205,35089.64701414108,50104590000000.0,0.0,-93565993.3861317,42761,10.280103,928.14
